Expt,site,block,plot_1,plot_2,N,P,K,Treatment,cup_no,pctC,pctN,CN-Samp-Code,TotC.gC,TotC.mgC,TotC.mgg,TotN.gN,TotN.mgN,TotN.mgg,SitexBlockxPlot,ID_indiv_reps,SitexTrt,ID,resp_day_0,cup_wt_g,fresh-soil_wt_g,dry-soil_wt_1_g,dry-soil_wt_2_g,dry-soil_final_wt_g,sample_volume_ml_11-17-12,jar_volume_ml,jar_volume_L,mmol_air_first-draw,mmol_air_second-draw,mmol_air_third-draw,Date_0,Hours_0,Minutes_0,Seconds_0,time-calc-1,time-calc-2,days-since-incub-start_0,seconds-from-midnight_d0,Area_0,ppm_0,mgC-CO2_0,notes_0,Date_1,Hours_1,Minutes_1,Seconds_1,time-calc-1,time-calc-2,seconds-from-midnight_d0,Area_1,days-since-incub-start_1,ppm_1,mgC-CO2_1,seconds-elapsed_0-1,hours-elapsed_0-1,days-elapsed_0-1,mgC-CO2-pergsoil-perday_1,mgC-CO2-pergsoil-perday_1_w_NA,notes_1,Date_2,Hours_2,Minutes_2,Seconds_2,time-calc-1,time-calc-2,seconds-from-midnight_d0,Area_2,days-since-incub-start_2,ppm_2,mgC-CO2_2,seconds-elapsed_0-2,hours-elapsed_0-2,days-elapsed_0-1,mgC-CO2-pergsoil-perday_2,mgC-CO2-pergsoil-perday_2_w_NA,notes_2,INCUB_DAYS,NOTES,RESP_C
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41241,,,,74,,87,70832.65823,424.6,601.3837774,0.288004089,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41243,,,,122,,237624.3495,655,89,939.3255262,0.447033646,166791.6913,46.33102536,1.93045939,0.001711048,0.001711048,,89,0,0.001711048
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41262,,,,122,,108,59650.84951,395.2,528.7272221,0.253208696,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41264,,,,,,215926.335,923.7,110,1244.509291,0.592273403,156275.4854,43.40985707,1.808744044,0.003893593,0.003893593,,110,0,0.003893593
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41292,,,,,,138,37970.82524,510.6,700.9810892,0.335701473,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41294,,,,,,210556.9903,999.9,140,1365.49596,0.64985207,172586.165,47.9406014,1.997525058,0.00326656,0.00326656,,140,0,0.00326656
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41323,,,,122,,169,41714.36893,411.1,597.7342805,0.286256337,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41325,,,,122,,210962.767,725.7,171,1059.332228,0.504145938,169248.3981,47.01344391,1.958893496,0.002310312,0.002310312,,171,0,0.002310312
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41379,,,,122,,225,48484.80583,434.2,599.8253275,0.287257744,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41381,,,,122,,212016.9951,664.6,227,932.0125328,0.443553325,163532.1893,45.42560814,1.892733673,0.001715151,0.001715151,,227,0,0.001715151
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41435,,,,,,281,63497.76699,369.1,529.2566238,0.253462228,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41437,,,,,,233974.6602,547.9,283,799.6326531,0.380552525,170476.8932,47.35469256,1.97311219,0.001337845,0.001337845,,283,0,0.001337845
NutNet,cbgb.nutnet,1,1,,0,0,0,Control,236,0.707,0.056,CER-147,0.340388102,340.3881017,7.07,0.026961434,26.96143379,0.56,cbgb.nutnetb1p1,1,cbgb.nutnetControl,1,41154,8.884,49.257,48.17213822,48.14541749,48.14541749,40,960,0.96,39.90852708,39.65909878,39.40967049,41532,,,,,,378,56360.35714,394.7,508.3290208,0.24343995,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41534,,,,,,229715.4444,552.6,380,726.7200328,0.345852739,173355.0873,48.15419092,2.006424622,0.001060172,0.001060172,,380,0,0.001060172
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41154,16,44,30,,,0,60270,353.6,459.2938051,0.22110248,,41155,18,15,20,,,152120,1211,1,1613.155182,0.771739034,91850,25.51388889,1.063078704,0.010657265,0.010657265,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,1,0,0.010657265
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41158,,,,18,,4,42382.65957,388.6,484.3688936,0.233173542,,41159,,,,42,,125847.234,944.1,5,1230.704414,0.58877326,83464.57447,23.18460402,0.966025167,0.007573892,0.007573892,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,5,0,0.007573892
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41166,,,,16,,12,34506.38298,334,721.8912357,0.347515992,,41167,,,,16,,124251.0638,615.9,13,1410.943669,0.675000345,89744.68085,24.92907801,1.038711584,0.006486967,0.006486967,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,13,0,0.006486967
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41170,,,,16,,16,58335,326.4,692.0543453,0.333152614,,41171,,,,16,,149155,599,17,1337.641643,0.639932401,90820,25.22777778,1.051157407,0.006004891,0.006004891,,41172,,,,16,,212160.4545,801.8,18,1777.887194,0.8505474,153825.4545,42.72929293,1.780387205,0.005979346,0.005979346,,18,0,0.005979346
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41176,,,,16,,22,53070.34091,349.9,716.9025367,0.345114449,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41178,,,,16,,237740,1158,24,1562.976402,0.747733331,184669.6591,51.29712753,2.137380314,0.003875774,0.003875774,,24,0,0.003875774
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41187,,,,90,,33,55793.73134,384.9,514.6309913,0.247741614,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41189,,,,90,,223717.7612,1036,35,1319.191462,0.631105771,167924.0299,46.64556385,1.94356516,0.004058434,0.004058434,,35,0,0.004058434
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41195,,,,90,,41,64397.22527,378,489.0143139,0.235409832,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41197,,,,90,,224190.4396,1072,43,1323.110641,0.63298072,159793.2143,44.38700397,1.849458499,0.004422992,0.004422992,,43,0,0.004422992
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41201,,,,90,,47,36109.81343,465.7,570.5143071,0.274643652,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41203,,,,90,,208071.3433,1067,49,1302.963547,0.62334228,171961.5299,47.76709163,1.990295484,0.00360478,0.00360478,,49,0,0.00360478
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41215,,,,18,,61,47384.66418,389.2,524.430239,0.252458938,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41217,,,,90,,216584.3689,900.6,63,1225.88049,0.586465478,169199.7048,46.99991799,1.958329916,0.003509258,0.003509258,,63,0,0.003509258
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41224,,,,90,,70,51401.7233,404.4,555.1466855,0.267245731,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41226,,,,,,236175.2427,470.5,72,641.9428329,0.307107678,184773.5194,51.32597762,2.138582401,0.000383512,0.000383512,,72,0,0.000383512
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41241,,,,42,,87,69246.83544,503.6,717.6799647,0.345488701,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41243,,,,90,,236919.7282,884.7,89,1279.823599,0.612272049,167672.8927,46.57580353,1.94065848,0.002828497,0.002828497,,89,0,0.002828497
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41262,,,,90,,108,58418.22816,386.4,516.4862985,0.248634752,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41264,,,,,,215315.0728,744.5,110,997.8472127,0.477373567,156896.8447,43.58245685,1.815935702,0.002591705,0.002591705,,110,0,0.002591705
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41292,,,,,,138,36307.13592,474.6,649.7938291,0.312808545,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41294,,,,,,209584.5631,849.1,140,1155.409585,0.552751953,173277.4272,48.13261866,2.005525778,0.002461652,0.002461652,,140,0,0.002461652
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41323,,,,90,,169,40522.60194,427.4,622.3715236,0.29960754,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41325,,,,90,,210184.5146,704.4,171,1027.224902,0.491427956,169661.9126,47.12830906,1.963679544,0.002009881,0.002009881,,171,0,0.002009881
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41379,,,,90,,225,47436.26214,370.2,506.6666667,0.243907615,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41381,,,,90,,211258.7816,586.5,227,818.1973186,0.391428435,163822.5194,45.50625539,1.896093975,0.001600809,0.001600809,,227,0,0.001600809
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41435,,,,,,281,62239.51456,355.2,508.2119606,0.244651514,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41437,,,,,,233219.7087,553.9,283,808.7029478,0.386886295,170980.1942,47.49449838,1.978937433,0.001478836,0.001478836,,283,0,0.001478836
NutNet,cbgb.nutnet,1,10,,0,0,1,K,192,0.779,0.066,CER-154,0.378609339,378.6093391,7.79,0.0320773,32.07729959,0.66,cbgb.nutnetb1p10,2,cbgb.nutnetK,2,41154,8.878,49.524,48.59675986,48.60196908,48.60196908,35,965,0.965,40.11638399,39.8669557,39.6175274,41532,,,,,,378,53135.29412,384.4,494.3020564,0.237955333,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41534,,,,,,229007.8889,593,380,782.0019157,0.374112429,175872.5948,48.85349855,2.035562439,0.001376265,0.001376265,,380,0,0.001376265
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41154,17,9,0,,,0,61740,360.1,468.3834429,0.22430992,,41155,18,33,0,,,153180,1647,1,2204.582203,1.04918092,91440,25.4,1.058333333,0.016177219,0.016177219,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,1,0,0.016177219
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41158,,,,40,,4,43499.04255,509,643.3337734,0.30809404,,41159,,,,16,,126843.5484,1343,5,1765.925131,0.840419991,83344.50583,23.15125162,0.964635484,0.011453935,0.011453935,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,5,0,0.011453935
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41166,,,,38,,12,35615.74468,314,673.3357611,0.322462061,,41167,,,,38,,124765.9574,691.5,13,1592.936928,0.758093316,89150.21277,24.76394799,1.031831166,0.008762958,0.008762958,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,13,0,0.008762958
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41170,,,,38,,16,59435,316.8,669.5666432,0.320657022,,41171,,,,38,,149675.6667,666.2,17,1496.28187,0.712094286,90240.66667,25.06685185,1.04445216,0.007778824,0.007778824,,41172,,,,38,,213070.4545,939.6,18,2096.42626,0.997708514,153635.4545,42.67651515,1.778188131,0.00790286,0.00790286,,18,0,0.00790286
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41176,,,,38,,22,54082.84091,242.7,478.3622608,0.229088799,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41178,,,,38,,238326.6667,794.6,24,1067.273223,0.50792513,184243.8258,51.17884049,2.132451687,0.002714004,0.002714004,,24,0,0.002714004
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41187,,,,112,,33,57197.46269,458.3,614.5765251,0.294322127,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41189,,,,112,,224305.5224,1437,35,1837.949547,0.874697072,167108.0597,46.41890547,1.934121061,0.00622824,0.00622824,,35,0,0.00622824
NutNet,cbgb.nutnet,1,11,,1,0,0,N10,226,0.954,0.075,CER-155,0.459629673,459.6296731,9.54,0.036134408,36.13440826,0.75,cbgb.nutnetb1p11,3,cbgb.nutnetN10,4,41154,8.903,49.329,48.16394833,48.17921101,48.17921101,40,960,0.96,39.90852708,39.65909878,39.40967049,41195,,,,112,,41,65610.24725,368.1,527.3755148,0.25256136,,,,,,,,,,-41154,,0,,0,0,#DIV/0!,#DIV/0!,,41197,,,,112,,224845.6044,1276,43,1576.999876,0.750508726,159235.3571,44.23204365,1.843001819,0.005607871,0.005607871,,43,0,0.005607871
